Date,Vendor,Invoice total,Paid in year,Outstanding,Schedule E line,Category,Property,Repair or improvement,Cost treatment,Job,Contractor,Receipt on file,Entered by,Notes,Recorded at
2025-02-09,Big Alz Moving n Handyman Service LLC,300.00,300.00,0.00,14,Repairs,Arbordale way,repair,operating,,,No,Owner,Pressure cleaning/washing Receipt reference: INV011233.,2026-08-03T12:22:59.834Z
2025-02-09,Family Dollar,1.34,1.34,0.00,15,Supplies,Arbordale way,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-02-09,Big Alz Moving n Handyman Service LLC,300.00,300.00,0.00,14,Repairs,Westmill,repair,operating,,,No,Owner,Pressure cleaning/washing Receipt reference: INV011233.,2026-08-03T12:22:59.834Z
2025-02-09,Big Alz Moving n Handyman Service LLC,400.00,400.00,0.00,14,Repairs,Kettlewell,repair,operating,,,No,Owner,Pressure cleaning/washing Receipt reference: INV011233.,2026-08-03T12:22:59.834Z
2025-02-15,The Home Depot,31.39,31.39,0.00,15,Supplies,Arbordale way,repair,operating,,,No,Owner,Receipt reference: store card.,2026-08-03T12:22:59.834Z
2025-02-19,Charlotte Water,78.17,78.17,0.00,17,Utilities,Kettlewell,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-02-20,Zillow,29.99,29.99,0.00,5,Advertising,Arbordale way,repair,operating,,,No,Owner,Receipt reference: f0db5145-ac63-46b8-978b-fe552dc8942b.,2026-08-03T12:22:59.834Z
2025-02-22,Lowe's home centers,106.40,106.40,0.00,15,Supplies,Westmill,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-02-23,Big Alz Moving n Handyman Service LLC,1154.00,1154.00,0.00,19,Other,Arbordale way,needs_review,operating,,,No,Owner,Workbook Schedule E column said: Needs review. Receipt reference: INV011232.,2026-08-03T12:22:59.834Z
2025-02-26,Walmart,32.40,32.40,0.00,15,Supplies,Westmill,repair,operating,,,No,Owner,Receipt reference: card.,2026-08-03T12:22:59.834Z
2025-03-07,FedEx,10.95,10.95,0.00,19,Other,Creedmore ct,repair,acquisition,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-03-07,FedEx,10.00,10.00,0.00,19,Other,Creedmore ct,repair,acquisition,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-03-10,"AppFolio, Inc. F WEB PMTS 031025 MJRWZ4 Amit Gandhi",2.49,2.49,0.00,19,Other,Kettlewell,repair,operating,,,No,Owner,wells fargo 6410 Receipt reference: online.,2026-08-03T12:22:59.834Z
2025-03-20,Groupon Realtor course,199.00,199.00,0.00,19,Other,Arbordale way,needs_review,operating,,,No,Owner,Took back rental from JKN due to disagreement along with the course A receipt reference is recorded in the source workbook.,2026-08-03T12:22:59.834Z
2025-04-17,MEULSTEE MAUD (first tenant),350.00,350.00,0.00,19,Other,Arbordale way,Not answered,operating,,,No,Owner,wells 6410 - ZELLE TO MEULSTEE MAUD ON 04/17 [removed] Workbook Schedule E column said: Rent adjustment. Receipt reference: zelle.,2026-08-03T12:22:59.834Z
2025-04-19,Lowe's home centers,54.44,54.44,0.00,15,Supplies,Arbordale way,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-04-22,Comfort Suites Pineville - Ballantyne Area,99.58,99.58,0.00,19,Other,Kettlewell,repair,operating,,,No,Owner,Contractors to sleep overnight for the work Receipt reference: online.,2026-08-03T12:22:59.834Z
2025-04-23,The Home Depot,150.21,150.21,0.00,15,Supplies,Westmill,repair,operating,,,No,Owner,Receipt reference: card.,2026-08-03T12:22:59.834Z
2025-04-28,Facebook - Used Refrigerator purchased (main),480.00,480.00,0.00,19,Other,Westmill,improvement,operating,,,No,Owner,ZELLE TO KRIS ON 04/28 [removed] REFRIGERATOR Workbook Schedule E column said: Capital. Receipt reference: zelle.,2026-08-03T12:22:59.834Z
2025-04-28,Spartan movers,450.00,450.00,0.00,19,Other,Westmill,repair,operating,,,No,Owner,ZELLE TO RAMONE SPARTAN MOVERS ON 04/28 Receipt reference: zelle.,2026-08-03T12:22:59.834Z
2025-04-29,Facebook - Fixture/furniture/light/fan/etc,1550.00,1550.00,0.00,19,Other,Arbordale way,improvement,operating,,,No,Owner,Patio furniture and other items ZELLE TO SHARMA ABHINAV ON Workbook Schedule E column said: Capital. Receipt reference: zelle.,2026-08-03T12:22:59.834Z
2025-05-01,Formula Air,95.00,95.00,0.00,14,Repairs,Arbordale way,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-05-03,Lowe's home centers,34.63,34.63,0.00,15,Supplies,Arbordale way,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-05-05,Facebook - Used Refrigerator purchased (garage),350.00,350.00,0.00,19,Other,Westmill,improvement,operating,,,No,Owner,Used refrigerator - ZELLE TO YUDZITSKAYA ALINA ON 05/04 [removed] Workbook Schedule E column said: Capital. Receipt reference: zelle.,2026-08-03T12:22:59.834Z
2025-05-05,Facebook - Used Refrigerator purchased moving,140.00,140.00,0.00,19,Other,Westmill,improvement,operating,,,No,Owner,ZELLE TO JORDAN STEFARIS ON 05/05 [removed] FRIDGE Workbook Schedule E column said: Capital. Receipt reference: zelle.,2026-08-03T12:22:59.834Z
2025-05-10,Lowe's home centers,115.39,115.39,0.00,15,Supplies,Arbordale way,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-05-19,Facebook - Fixture/furniture/light/fan/etc,1000.00,1000.00,0.00,19,Other,Arbordale way,improvement,operating,,,No,Owner,ZELLE TO SATYA Workbook Schedule E column said: Capital. Receipt reference: zelle.,2026-08-03T12:22:59.834Z
2025-05-19,Spartan movers,350.00,350.00,0.00,19,Other,Arbordale way,repair,operating,,,No,Owner,Receipt reference: zelle.,2026-08-03T12:22:59.834Z
2025-05-20,Facebook - Fixture/furniture/light/fan/etc,6500.00,6500.00,0.00,19,Other,Arbordale way,improvement,operating,,,No,Owner,wells fargo 6410 Workbook Schedule E column said: Capital. Receipt reference: check - 148.,2026-08-03T12:22:59.834Z
2025-05-26,Zillow,29.99,29.99,0.00,5,Advertising,Westmill,repair,operating,,,No,Owner,ZILLOW *RENT LISTINGS 866-961-2570 WA Receipt reference: card.,2026-08-03T12:22:59.834Z
2025-05-28,Number1Garage.com,65.00,65.00,0.00,14,Repairs,Westmill,repair,operating,,,No,Owner,inspection via choice Receipt reference: card.,2026-08-03T12:22:59.834Z
2025-06-01,Lowe's home centers,21.41,21.41,0.00,15,Supplies,Westmill,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-06-25,Precision Door Service Invoice,101.89,101.89,0.00,14,Repairs,Westmill,repair,operating,,,No,Owner,indepent inspection for the quote Receipt reference: card.,2026-08-03T12:22:59.834Z
2025-07-15,Arthur Simrel,45.00,45.00,0.00,14,Repairs,Kettlewell,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-07-16,GFHGDD LLC dba,766.84,766.84,0.00,14,Repairs,Westmill,repair,operating,,,No,Owner,Garage door and we have receipt over email Receipt reference: online.,2026-08-03T12:22:59.834Z
2025-07-18,Wells fargo,3.00,3.00,0.00,19,Other,Arbordale way,repair,operating,,,No,Owner,well fargo 6410,2026-08-03T12:22:59.834Z
2025-07-21,USPS,11.00,11.00,0.00,19,Other,Arbordale way,repair,operating,,,No,Owner,Receipt reference: card.,2026-08-03T12:22:59.834Z
2025-10-05,Lowe's home centers,147.83,147.83,0.00,15,Supplies,Kettlewell,repair,operating,,,No,Owner,A receipt reference is recorded in the source workbook.,2026-08-03T12:22:59.834Z
2025-10-16,UPS,20.00,20.00,0.00,19,Other,Creedmore ct,repair,acquisition,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-11-18,Lowe's home centers,32.05,32.05,0.00,15,Supplies,Creedmore ct,repair,acquisition,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-11-18,The Home Depot,127.61,127.61,0.00,15,Supplies,Creedmore ct,repair,acquisition,,,No,Owner,Receipt reference: card.,2026-08-03T12:22:59.834Z
2025-11-26,The Home Depot,6959.53,6959.53,0.00,19,Other,Creedmore ct,improvement,acquisition,,,No,Owner,"LVP Flooring Workbook Schedule E column said: Capital. A receipt reference is recorded in the source workbook. Now identifiable: invoice INV011307 describes laying new LVP over the same 2,887 sq ft. Luxury vinyl plank is 5-year personal property, so it is fully bonus-eligible rather than part of the 27.5-year shell.",2026-08-03T12:22:59.834Z
2025-11-28,Big Alz Moving n Handyman Service LLC,8244.00,2500.00,5744.00,19,Other,Creedmore ct,needs_review,acquisition,,,No,Owner,"Painting + LVP Flooring Handyman work at Creedmore ct $2,500 in 2025, $5,750 in 2026 Workbook Schedule E column said: Split required. Receipt reference: INV011307. The 2025 cash-basis portion of invoice INV011307 ($8,244 total; $5,750 paid across 2026). A cash payment does not attach to particular line items, so this $2,500 still needs allocating between the invoice's $3,327 of 5-year property and $4,917 of repairs - pro rata gives roughly $1,009 capital and $1,491 repair. INV011307. Invoice total 8244; 2500 paid in 2025, balance 5744 carried into 2026. The ledger only ever recorded the payment, so the invoice total was invisible in it. The workbook's 2026 figure of 5750 overstates the balance by 6 against the invoice; the invoice wins.",2026-08-03T12:22:59.834Z
2025-11-30,CELLAXS ELECTRONICS,925.57,925.57,0.00,19,Other,Arbordale way,improvement,operating,,,No,Owner,"iPad for listing, photos and rental management Workbook Schedule E column said: Capital. Mixed personal and business use. Only the business-use percentage is depreciable, and that percentage has to be stated.",2026-08-03T12:22:59.834Z
2025-12-02,Zillow,39.99,39.99,0.00,5,Advertising,Creedmore ct,repair,operating,,,No,Owner,Listing Receipt reference: e835ef70-c93c-4d5d-a001-1f32b3e07f12.,2026-08-03T12:22:59.834Z
2025-12-05,A&S cleaning LLC,102.47,102.47,0.00,7,Cleaning and maintenance,Creedmore ct,repair,operating,,,No,Owner,Duct cleaning Receipt reference: #635.,2026-08-03T12:22:59.834Z
2025-12-07,Sherwin-Williams,2164.47,2164.47,0.00,19,Other,Creedmore ct,improvement,operating,,,No,Owner,Workbook Schedule E column said: Capital. Receipt reference: card. Paint as part of a general plan of improvement capitalises to the 27.5-year shell and is not bonus-eligible. Standalone repainting between tenants would instead be a current repair.,2026-08-03T12:22:59.834Z
2025-12-14,Sherwin-Williams,179.38,179.38,0.00,15,Supplies,Arbordale way,repair,operating,,,No,Owner,Receipt reference: card.,2026-08-03T12:22:59.834Z
2025-12-15,Cleaning services,180.00,180.00,0.00,7,Cleaning and maintenance,Creedmore ct,repair,operating,,,No,Owner,Receipt reference: Zelle.,2026-08-03T12:22:59.834Z
2025-12-24,FREEDOM*MORTGAGE*FEES,470.00,470.00,0.00,19,Other,Arbordale way,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-12-31,HOA,15.00,15.00,0.00,19,Other,Westmill,repair,operating,,,No,Owner,Key fob Receipt reference: check. Year aggregate from the 2025 workbook; dated 31 December because it has no single day.,2026-08-03T12:22:59.834Z
2025-12-31,TruGreen,386.31,386.31,0.00,7,Cleaning and maintenance,Westmill,repair,operating,,,No,Owner,Year aggregate from the 2025 workbook; dated 31 December because it has no single day.,2026-08-03T12:22:59.834Z
2025-12-31,Closing - hoaConveyanceFee,275.00,275.00,0.00,19,Other,Creedmore ct,Not answered,operating,,,No,Owner,"One-off HOA conveyance fee on transfer From the closing disclosure: CD page 2, H. Other. NOT deductible per the closing disclosure - this one adds to basis.",2026-08-03T12:22:59.834Z
2025-12-31,Closing - propertyTax,391.83,391.83,0.00,16,Taxes,Creedmore ct,Not answered,operating,,,No,Owner,"County taxes prorated 2025-11-18 to 2026-01-01, reimbursed to the seller From the closing disclosure: CD page 3, adjustments for items paid by seller in advance. The closing disclosure marks this deductible. Your CPA decides whether it is deducted now or added to basis.",2026-08-03T12:22:59.834Z
2025-12-31,Closing - hazardInsurance,1072.56,1072.56,0.00,9,Insurance,Creedmore ct,Not answered,operating,,,No,Owner,"Homeowner's insurance, 12 months, to Allstate From the closing disclosure: CD page 2, F. Prepaids. The closing disclosure marks this deductible. Your CPA decides whether it is deducted now or added to basis.",2026-08-03T12:22:59.834Z
2025-12-31,Mileage - aqusition,181.72,181.72,0.00,19,Other,Creedmore ct,repair,acquisition,,,No,Owner,basis Year aggregate from the 2025 workbook; dated 31 December because it has no single day.,2026-08-03T12:22:59.834Z
2025-12-31,Mileage - operating,13.23,13.23,0.00,19,Other,Split,repair,operating,,,No,Owner,"2 trips, iPad purchase Year aggregate from the 2025 workbook; dated 31 December because it has no single day. The workbook recorded this as portfolio-wide with no split decided. Split equally across every property as a placeholder - change it if that is not what you intend.",2026-08-03T12:22:59.834Z
2025-12-31,Mileage - operating,41.02,41.02,0.00,19,Other,Kettlewell,repair,operating,,,No,Owner,"9 trips, 58.6 mi Year aggregate from the 2025 workbook; dated 31 December because it has no single day.",2026-08-03T12:22:59.834Z
2025-12-31,Mileage - operating,72.31,72.31,0.00,19,Other,Westmill,repair,operating,,,No,Owner,"27 trips, 103.3 mi Year aggregate from the 2025 workbook; dated 31 December because it has no single day.",2026-08-03T12:22:59.834Z
2025-12-31,Mileage - operating,568.47,568.47,0.00,19,Other,Arbordale way,repair,operating,,,No,Owner,"37 trips, 812.1 mi Year aggregate from the 2025 workbook; dated 31 December because it has no single day.",2026-08-03T12:22:59.834Z
2025-12-31,HOA - Creedmore,60.27,60.27,0.00,19,Other,Creedmore ct,repair,operating,,,No,Owner,Year aggregate from the 2025 workbook; dated 31 December because it has no single day.,2026-08-03T12:22:59.834Z
2025-12-31,HOA - Arbordale,276.99,276.99,0.00,19,Other,Arbordale way,repair,operating,,,No,Owner,Year aggregate from the 2025 workbook; dated 31 December because it has no single day.,2026-08-03T12:22:59.834Z
2025-12-31,HOA - Kettlewell ln,1800.00,1800.00,0.00,19,Other,Kettlewell,repair,operating,,,No,Owner,Year aggregate from the 2025 workbook; dated 31 December because it has no single day.,2026-08-03T12:22:59.834Z
2025-12-31,HOA - Westmill,600.00,600.00,0.00,19,Other,Westmill,repair,operating,,,No,Owner,Year aggregate from the 2025 workbook; dated 31 December because it has no single day.,2026-08-03T12:22:59.834Z
2025-12-31,Claude,0.00,0.00,0.00,19,Other,Split,repair,operating,,,No,Owner,Year aggregate from the 2025 workbook; dated 31 December because it has no single day. The workbook recorded this as portfolio-wide with no split decided. Split equally across every property as a placeholder - change it if that is not what you intend. No amount was recorded for this in the workbook. Fill it in or delete it.,2026-08-03T12:22:59.834Z
2025-12-31,Google storage expense,23.88,23.88,0.00,19,Other,Split,Not answered,operating,,,No,Owner,Receipt reference: yes. Year aggregate from the 2025 workbook; dated 31 December because it has no single day. The workbook recorded this as portfolio-wide with no split decided. Split equally across every property as a placeholder - change it if that is not what you intend.,2026-08-03T12:22:59.834Z
2025-12-31,"lawn mower, shrubs, etc",900.00,900.00,0.00,7,Cleaning and maintenance,Westmill,repair,operating,,,No,Owner,per contract Receipt reference: cash. Year aggregate from the 2025 workbook; dated 31 December because it has no single day.,2026-08-03T12:22:59.834Z
2025-12-31,Facebook - Used Washer/dryer purchased,800.00,800.00,0.00,19,Other,Arbordale way,improvement,operating,,,No,Owner,Used Washer/dryer (Cash) Workbook Schedule E column said: Capital. Receipt reference: cash. Year aggregate from the 2025 workbook; dated 31 December because it has no single day.,2026-08-03T12:22:59.834Z
